"chk_code","module_code","requirement_type","title","description","input_schema","show_if","inherit_from","sync_to_parent","min_responses_required","is_mandatory","display_order","local_vernacular","is_active","entry_ts","updt_ts","entry_by","updt_by","chk_id"
"RFCTLARR_CL3_REHABILITATION","LAND_SCHEDULE","document","CL-3 — Project Affected Families Rehabilitation","Checklist No. CL-3 and supporting documents when rehabilitation of Project Affected Families is involved.","{}","{""and"": [{""op"": ""eq"", ""field"": ""acq_mode_id"", ""value"": 2}, {""op"": ""eq"", ""field"": ""current_stage_cd"", ""value"": ""RFCTLARR_APPROVAL""}, {""op"": ""eq"", ""field"": ""has_rehabilitation"", ""value"": true}]}",NULL,NULL,1,True,250,NULL,True,"2026-08-13 16:03:02.511","2026-08-13 16:03:02.511","system",NULL,"0444da06-1af9-45e9-a722-a8e374ec2352"
"REVENUE_PLAN","LAND_SCHEDULE","document","Revenue Plan","Revenue plan showing the relevant project boundary and proposed acquisition area.","{}","{""op"": ""in"", ""field"": ""acq_mode"", ""value"": [1, 2, 6]}",NULL,NULL,1,True,10,NULL,True,"2026-08-13 16:05:57.219","2026-08-13 16:05:57.219","system",NULL,"0a14b13e-4ff0-411d-a9c6-444afdb9f18e"
"GOVERNMENT_RATE_EVIDENCE","LAND_SCHEDULE","document","Government / Patta Land Rate Evidence","Government certified market value or other approved supporting rate document.","{}","{""and"": [{""op"": ""in"", ""field"": ""acq_mode"", ""value"": [1, 2, 6]}, {""op"": ""eq"", ""field"": ""has_government_or_patta_land"", ""value"": true}]}",NULL,NULL,1,True,80,NULL,True,"2026-08-13 16:05:57.219","2026-08-13 16:05:57.219","system",NULL,"13d2cc1e-e417-4609-a54f-13ee68944a7e"
"FORM_VII","LAND_SCHEDULE","generated_document","Form-VII — Cross-Colliery Reconciliation","System-generated Form-VII for plot-wise reconciliation with an adjacent colliery/Area where required.","{""template_code"": ""FORM_VII""}","{""and"": [{""op"": ""eq"", ""field"": ""acq_mode"", ""value"": 6}, {""op"": ""eq"", ""field"": ""reconciliation_required"", ""value"": true}]}",NULL,NULL,1,True,140,NULL,True,"2026-08-13 16:05:57.219","2026-08-13 16:05:57.219","system",NULL,"15e835c8-4f78-4664-9f7d-8c8127389264"
"CBA_SECTION_4_AREA_NOT_LEASED_CERTIFICATE","LAND_SCHEDULE","document","Certificate — Area Not Leased for Other Purpose","Certificate confirming that the proposed area is not leased for another purpose.","{}","{""and"": [{""op"": ""eq"", ""field"": ""acq_mode_id"", ""value"": 1}, {""op"": ""eq"", ""field"": ""current_stage_cd"", ""value"": ""SECTION_4""}]}",NULL,NULL,1,True,450,NULL,True,"2026-08-13 16:04:17.474","2026-08-13 16:04:17.474","system",NULL,"1ebdf3b0-26b2-4826-a44a-9d431d45a025"
"CBA_SECTION_4_PROJECT_APPROVAL","LAND_SCHEDULE","document","Project Approval / Prospecting / Block Allotment / CMD Approval","Relevant project approval, prospecting approval, block allotment letter or CMD approval supporting the Section 4 proposal.","{}","{""and"": [{""op"": ""eq"", ""field"": ""acq_mode_id"", ""value"": 1}, {""op"": ""eq"", ""field"": ""current_stage_cd"", ""value"": ""SECTION_4""}]}",NULL,NULL,1,True,420,NULL,True,"2026-08-13 16:04:17.474","2026-08-13 16:04:17.474","system",NULL,"24064db9-3a7b-445c-b527-7917b944876a"
"RFCTLARR_LAND_SCHEDULE","LAND_SCHEDULE","generated_document","Land Schedule — Land Type-wise and Mouza-wise Abstract","System-generated land schedule containing the land type-wise and mouza-wise abstract for the RFCTLARR acquisition proposal.","{""template_code"": ""LAND_ACQUISITION_SCHEDULE""}","{""and"": [{""op"": ""eq"", ""field"": ""acq_mode_id"", ""value"": 2}, {""op"": ""eq"", ""field"": ""current_stage_cd"", ""value"": ""RFCTLARR_APPROVAL""}]}",NULL,NULL,1,True,210,NULL,True,"2026-08-13 16:03:02.511","2026-08-13 16:03:02.511","system",NULL,"2e565eca-ba28-4139-9696-54d072918845"
"STATUTORY_CLEARANCES","LAND_SCHEDULE","document","Statutory Clearances","Applicable statutory clearances required for the proposed acquisition.","{}","{""op"": ""in"", ""field"": ""acq_mode"", ""value"": [1, 2, 6]}",NULL,NULL,1,False,30,NULL,True,"2026-08-13 16:05:57.219","2026-08-13 16:05:57.219","system",NULL,"37ba2bbe-f300-4089-a90f-86b58ccd437f"
"CBA_SECTION_4_BLOCK_PLAN_VILLAGE_SCHEDULE","LAND_SCHEDULE","document","Block Plan with Village Boundaries and Village Schedule","Block plan showing village boundaries together with the corresponding village schedule.","{}","{""and"": [{""op"": ""eq"", ""field"": ""acq_mode_id"", ""value"": 1}, {""op"": ""eq"", ""field"": ""current_stage_cd"", ""value"": ""SECTION_4""}]}",NULL,NULL,1,True,430,NULL,True,"2026-08-13 16:04:17.474","2026-08-13 16:04:17.474","system",NULL,"38a0c76b-140b-47c6-b140-1c3f9bfe677b"
"CBA_SECTION_7_SUFFICIENT_COAL_CERTIFICATE","LAND_SCHEDULE","document","Certificate — Sufficient Coal Available","Certificate supporting that sufficient coal is available in the proposed Section 7 area.","{}","{""and"": [{""op"": ""eq"", ""field"": ""acq_mode_id"", ""value"": 1}, {""op"": ""eq"", ""field"": ""current_stage_cd"", ""value"": ""SECTION_7""}]}",NULL,NULL,1,True,560,NULL,True,"2026-08-13 16:04:17.474","2026-08-13 16:04:17.474","system",NULL,"3f2e679b-8f62-40c5-8b18-b5af990b0317"
