"id","template_code","sig_permission","workflow_state","placeholders","is_required","display_order","entry_ts","updt_ts","entry_by","updt_by"
"0760ae30-109b-4e88-afae-62edf045081b","FORM_VII","form_vii.sign.purchasing_area_gm","UnitSubmitted","{""label"": ""Area General Manager (Purchasing Area)"", ""placeholder_key"": ""PurchasingAreaGeneralManagerSignature""}",True,6,"2026-08-06 06:44:01.375","2026-08-10 16:36:26.227","system",NULL
"076abf38-718a-45b0-a10c-8f72e77ecd7e","FORM_VII","form_vii.sign.adj_land_clerk","UnitSubmitted","{""placeholder"": ""{{sig_adj_land_clerk}}""}",True,7,"2026-08-05 17:27:21.203","2026-08-05 11:59:48.573","system",NULL
"0772735e-d91f-4701-80dd-d0df2be38937","FORM_VII","form_vii.sign.acq_project_manager","UnitSubmitted","{""label"": ""Colliery Project Manager (Initiating Mine)""}",True,3,"2026-08-05 17:27:21.203","2026-08-06 05:55:01.438","system",NULL
"196725d0-3234-4a1d-bbb9-97964759c807","FORM_VII","form_vii.sign.adjacent_project_manager","CrossCollieryVerification","{""label"": ""Colliery/Project Manager (Adjacent Mine)"", ""placeholder_key"": ""AdjacentProjectManagerSignature""}",True,9,"2026-08-06 06:44:01.39","2026-08-10 16:36:26.248","system",NULL
"22b973f3-0c4e-4f47-854f-a578e1ec7dd1","FORM_VII","form_vii.sign.purchasing_area_land_officer","UnitSubmitted","{""label"": ""Area Land Dealing Officer (Purchasing Area)"", ""placeholder_key"": ""PurchasingAreaLandOfficerSignature""}",True,5,"2026-08-06 06:44:01.37","2026-08-10 16:36:26.22","system",NULL
"29f96280-47d7-468e-a888-af116e8e98e7","FORM_VII","form_vii.sign.acq_land_officer","UnitSubmitted","{""label"": ""Area Land Officer (Initiating Area)""}",True,4,"2026-08-05 17:27:21.203","2026-08-06 05:55:01.442","system",NULL
"325f215e-dc07-45d6-98af-dedf12f21716","FORM_VII","form_vii.sign.cross_project_manager","CrossCollieryVerification","{""label"": ""Adjacent Project Manager (Mine B)""}",True,7,"2026-08-06 05:55:01.458","2026-08-06 05:55:01.458","system",NULL
"3ef70bbd-e5fe-4f9a-a057-c938a01e3aa5","FORM_VII","form_vii.sign.adjacent_land_clerk","CrossCollieryVerification","{""label"": ""Land Clerk/Amin/Rev.Inspector (Adjacent Mine)"", ""placeholder_key"": ""AdjacentLandClerkSignature""}",True,7,"2026-08-06 06:44:01.379","2026-08-10 16:36:26.235","system",NULL
"41f62cee-2b65-4b35-8b3c-9f67900ad07e","FORM_VII","form_vii.sign.acq_agent","UnitSubmitted","{""placeholder"": ""{{sig_acq_agent}}""}",False,4,"2026-08-05 17:27:21.203","2026-08-05 11:59:48.543","system",NULL
"4a08ba5c-4f4a-46f5-a214-de607f9e3f17","FORM_VII","form_vii.sign.adj_project_manager","UnitSubmitted","{""placeholder"": ""{{sig_adj_project_manager}}""}",True,9,"2026-08-05 17:27:21.203","2026-08-05 11:59:48.607","system",NULL
"4f45ba36-ce7d-4e85-bc11-525ad6eef59e","FORM_VII","form_vii.sign.adjacent_survey_officer","CrossCollieryVerification","{""label"": ""Surveyor/Survey Officer (Adjacent Mine)"", ""placeholder_key"": ""AdjacentSurveyOfficerSignature""}",True,8,"2026-08-06 06:44:01.384","2026-08-10 16:36:26.242","system",NULL
"51c921fe-8366-470f-a655-d116e048cd48","FORM_VII","form_vii.sign.acq_land_clerk","UnitSubmitted","{""label"": ""Unit Land Clerk (Initiating Mine)""}",True,1,"2026-08-05 17:27:21.203","2026-08-06 05:55:01.428","system",NULL
"6cdedf69-2703-48df-831d-a6125cf553b8","FORM_VII","form_vii.sign.adj_agm","UnitSubmitted","{""placeholder"": ""{{sig_adj_agm}}""}",True,12,"2026-08-05 17:27:21.203","2026-08-05 11:59:48.688","system",NULL
"737e5c42-3bb3-4108-a1f2-408e650be273","FORM_VII","form_vii.sign.cross_surveyor","CrossCollieryVerification","{""label"": ""Adjacent Unit Surveyor (Mine B)""}",True,6,"2026-08-06 05:55:01.455","2026-08-06 05:55:01.455","system",NULL
"7888b1fa-099d-4394-b955-a7086c0bfbe7","FORM_VII","form_vii.sign.adjacent_area_gm","CrossCollieryVerification","{""label"": ""Area General Manager (Adjacent Area)"", ""placeholder_key"": ""AdjacentAreaGeneralManagerSignature""}",True,12,"2026-08-06 06:44:01.398","2026-08-10 16:36:26.266","system",NULL
"7e89e8a1-e448-4276-80c1-cf592060c437","FORM_VII","form_vii.sign.acq_agm","UnitSubmitted","{""placeholder"": ""{{sig_acq_agm}}""}",True,6,"2026-08-05 17:27:21.203","2026-08-05 11:59:48.56","system",NULL
